,brand_id,title
501,382,MEGATRON
502,5190,GM International
503,14756,SUGATSUNE
506,3456,Viessmann
507,16708,Pragati
508,3560,Wangen Pumpen
509,3497,Digital Control
510,5777,LINAK
511,5866,Textron
513,5526,KOBOLD
514,520,B&R \/ BR-Automation
516,17915,PRECISION GEARS
519,4790,MOELLER (brand of EATON)
520,19038,Airtec S.r.l.
522,421,Mean Well
524,864,Bei Sensors (brand of Sensata Technologies)
525,777,MISUMI
526,2377,Rittal
528,14033,Qualitrol
532,8188,Polylux
534,7252,GOETZE Armaturen
537,674,GEA Niro Soavi
538,12080,epis Automation
539,12087,Etscheid
540,10123,Multicomat
541,5591,Tosoku
542,453,azbil Yamatake
543,3971,Bonfiglioli
544,13541,ADFweb
545,12152,GAI-TRONICS (Hubbell Company)
546,4368,DUCATI
547,929,BuTech
553,912,Schneider Electric
555,25,Schmersal
559,5516,TexWipe
560,3423,Rotary Power
562,4367,DUPLINE
564,19704,Argus (brand of Flowserve)
567,11373,Höntzsch \/ Hoentzsch \/ Hontzsch
568,15918,Extreme Networks \/ Enterasys
573,9781,SINO
575,2683,Unitronics
576,2017,John Deere
663,8460,JAUDT Dosiertechnik Maschinenfabrik
664,13591,URAS TECHNO
665,9453,HOBUT
666,12064,Fluid-o-Tech
668,9347,BONDERITE
669,13761,PALLMANN Maschinenfabrik (brand of Siempelkamp Group)
670,20949,Gossen Metrawatt
674,5236,Brainchild Electronic
675,18,IFM
676,518,ECOLAB
682,6800,Hansen Electric
683,4400,Sesino
684,6648,TER \/ T.E.R Tecnoelettrica Ravasi Srl
686,1794,Dungs
687,2324,FuehlerSysteme
688,6056,MD Micro Detectors (Brand of Datasensing)
689,18510,DELLNER BUBENZER
690,15355,Bominox
692,3611,Sensorex
693,13284,Zoppas Industries
694,3155,Mitutoyo
697,8455,Rohde Technics
699,3226,EMKA
700,2010,Löhrke \/ LOEHRKE
704,17678,GoGaS
705,10346,Rollex systems
706,5884,Mastech Group \/ MGL International Group
710,6459,Drager Rohrchen
714,3777,M+S Hydraulic
720,10805,Brevetti Stendalto
723,4928,Crevis
732,10263,Wattsud L.e.p. S.p.A.
733,8428,SCHMIDT-KUPPLUNG
734,0,
738,13483,Autoclave (brand of Parker)
739,743,Garlock
741,5117,MAGNALOY
742,42,Omron
743,14482,Terasaki Electric
745,7304,Westward
763,1714,REVALCO
765,11326,Novenco
766,794,MANN Filter \/ Mann & Hummel
767,3566,Galltec+Mela
769,8943,Besozzi Elettromeccanica
770,1156,Twiflex (Brand of  Altra Industrial Motion)
771,21075,Stumabo
773,48,Harting
774,129,VEGA
776,1931,Magnescale
777,118,Baldor \/ Reliance Baldor (Brand of ABB)
778,4077,WABCO
779,16554,Würschum
783,14617,SensoTech
787,9542,A-RYUNG MACHINERY
788,2662,Baumer
792,5040,Lika Electronic
794,3646,Sulzer \/ Pumpex
801,3449,Beru
802,4956,MKS Instruments
803,1778,Benedikt & Jager
804,19098,ELTEK
805,872,KSR Kuebler (Brand of WIKA Group)
807,7583,EKD Gelenkrohr
808,7551,IMI Precision Engineering
809,8553,Akapp Stemmann (Brand of Wabtec)
811,2323,Schmalz
836,4787,CONTRAVES
839,2360,DEFINOX
851,16250,MAE \/ M.A.E.
853,12476,Scharfenberger
854,1833,Trane
857,752,Sauter \/ Sauter Controls
871,457,RICKMEIER
874,20325,EATON
878,4360,ICPDAS
881,9778,Nikkiso
882,2569,BR-Automation
883,2268,YARWAY
884,6817,Perma-tec
885,8372,GOTEC
890,5784,Intorq
891,17726,IMO PUMP
892,4693,GISON Machinery
894,18321,Easy Mover
895,6153,AST Angewandte System Technik \/ A.S.T.
896,3670,Venti-Oelde
897,4762,HERMETIC-Pumpen
902,1877,Thomson Linear
905,4129,Ionpure (brand of Evoqua)
906,2263,CROSBY Valves (brand of Emerson)
910,869,Stromag (Brand of Altra Industrial Motion)
912,12906,WALRUS
914,21076,CKS
915,98,WIKA
917,7159,Saelzer Electric \/ Sälzer \/ Salzer
918,1627,GEA
925,2147,STAHL
936,11910,invt
939,9835,PLANONLIGHT (brand of Hagn­_Leone)
940,4799,ORIENTAL MOTOR
943,5476,Groschopp
947,4679,VS Sensorik
948,956,Sirca International
949,172,GEFEG-NECKAR \/ GEFEG NECKAR
951,658,TDK-Lambda
952,6785,KOBA
955,9266,Helios Ventilatoren
956,995,Camozzi
960,7525,iba
962,13010,FERGO Armaturen
964,13093,HYDROKOMP
965,2443,Murrplastik
967,1466,E-T-A \/ ETA
968,1094,GLOBE Airmotors
977,7554,CML (Camel Precision)
978,6735,AMF
985,2749,Phoenix Contact
1005,6995,RENK
1024,11899,Micro Motors
1025,1326,NEUTRIK
1037,938,SSB Antriebstechnik \/ SSB Duradrive \/ CEDS DURADRIVE
1044,2684,KAISER+KRAFT
1046,1594,ABB
1047,10083,MicroStep
1049,2778,Delta
1050,678,Sontheimer
1051,2051,Rotek
1052,2941,Caterpillar
1058,5170,OMFB SpA
1059,21073,Goulds Water Technology (brand of Xylem)
1061,195,Mönninghoff
1062,5992,Pizzato Elettrica
1064,3418,Nexans \/ AmerCable
1066,1643,ACE \/ ACE Controls
1067,18166,NORBERT SCHALLER
1070,34,Microsonic
1073,15374,Sabiana
1074,8028,Revere Transducers (brand of VPG Transducers)
1075,3669,Benzlers
1077,2172,simalube
1082,8078,Tempress
1084,7325,Lüdecke \/ Luedecke
1095,12998,VTS
1096,2185,Beckhoff
1099,3466,HACO
1100,13285,Globe Motors Inc
1101,11832,elrest
1103,5141,MTD
1105,4404,Contrinex
1106,579,ALLWEILER
1110,493,INOR
1111,88,ANDERSON-NEGELE
1116,21046,ACH Aandrijftechniek
1117,9005,Emme \/ Max-Air Technology
1118,1295,Pfannenberg
1119,10877,Pavone Sistemi
1120,244,Kromschroeder \/ Kromschröder \/ Kromschroder
1122,6926,MEGLIANI
1123,3760,Riello
1124,45,Mitsubishi Electric
1127,14734,Lenzkes Spanntechnik
1128,111,RADIO-ENERGIE PRECILEC (brand of AMW Group)
1131,4386,Milton Roy
1133,113,TR-Electronic
1135,2543,optris
1139,12122,CKD Corporation
1147,8400,Kingston
1149,17499,MAGNET-PHYSIK
1150,565,STAUFF
1152,3844,Tuerk Hillinger \/ Türk+Hillinger
1158,7812,Victor Pumpen
1160,9175,Namco (brand of Specialty Product Technologies (SPT))
1161,560,Transtecno
1166,5037,MWM Freni Frizioni
1168,892,Riegler
1173,11971,ITW Dynatec
1174,12435,DRTecnologie
1178,16503,LUKAS-ERZETT
1182,875,Bircher Reglomat
1185,6410,DEIF
1194,5115,PIL Sensoren
1195,3658,Hawe
1196,1006,DRÄGER
1197,11914,SC Hydraulic
1199,2414,Bolenz & Schäfer BSD
1200,18265,Pyropress
1201,3674,Magnet Schultz
1202,12426,Alrose Gas Springs
1203,5026,BEI IDEACOD (brand of Sensata Technologies)
1205,7102,R+M de Wit
1207,10980,MaterMacc
1214,153,Yokogawa
1216,10986,TAI Milano
1220,4961,Schlick
1221,829,KIEPE ELEKTRIK
1223,11215,Emirel
1224,14248,Wiberger
1225,6055,Intercontec (brand of TE Connectivity)
1234,7694,Hans Schmidt \/ Schmidt Control Instruments
1237,2062,ASA HYDRAULIK
1238,1436,GLAMOX
1240,11234,Altech Corporation
1241,4969,Clayton
1256,15629,OVAL Corporation
1258,21072,Istec
1268,835,TYCO (brand of Emerson)
1271,8839,Ampco Pumps
1278,13473,SERVOMAX (Brand of R+W)
1279,3992,Kavlico (brand of Sensata Technologies)
1281,10887,Meyn
1299,12419,MH-TEC
1307,15658,VUTLAN
1308,180,Atos
1309,5629,Perkins
1310,8959,Future Life Technology
1311,2864,Böllhoff
1313,17713,Masibus
1314,2500,WEDECO
1317,8657,HPI HYDROPERFECT INTERNATIONAL
1318,2637,CLYDE BERGEMANN
1319,7278,Mertik Maxitrol
1320,12740,Dynabrade
1322,8763,Reflex Winkelmann
1324,1704,VACU-LIFT \/ VACULIFT
1327,9158,AUTEC Srl
1330,8488,Weforma Dämpfungstechnik
1334,8616,Telemecanique (Brand of Schneider Electric)
1335,21071,Donau Hydraulik
1336,7495,Moog Pumpen
1337,9324,Alpha Wire
1342,10868,Cole-Parmer
1343,20060,PINET Industrie
1344,5971,HF Hydraulfunktion
1345,1814,MP Filtri
1346,6875,HOPPECKE
1351,9110,Sicame
1355,9404,Heco
1359,385,FHF Funke + Huster
1361,18121,EBE Elektro-Bau-Elemente
1362,331,FIBRO
1364,12997,Fawcett Christie Hydraulics
1365,327,ipf electronic
1366,126,Endress+Hauser
1367,136,CONDAIR
1372,10336,LAIPPLE KEB \/ BRINKMANN
1373,5973,HYDROTECHNIK
1374,1879,Mattke
1375,14337,CSF Inox Pumps
1378,5562,Watts
1379,8296,Hydronit
1380,5980,Coremo Ocmea
1381,17644,Simes
1382,10411,IKUSI
1383,14542,Brooksbank Valves
1384,17624,Fracarro
1386,9182,Ray International
1387,11864,Swegon
1393,12670,DMC \/ Van der Velden (Damen Marine Components)
1396,13359,Herkules Machinetools (part of HerkulesGroup)
1397,564,Donaldson
1407,5653,Krauss Maffei Group
1409,10862,BIG DAISHOWA SEIKI
1419,4855,3M Medical
1420,2954,Woelm
1439,10614,New Elfin
1441,3495,Emotron
1444,1929,Gardner Denver
1453,26,Sick
1454,9100,Anest Iwata
1458,4702,Klemsan
1462,2690,Trelleborg
1466,513,REXNORD
1474,810,Kaeser
1476,3545,Igus
1481,1665,TRAFAG sensors & controls
1482,256,ELESA \/ GANTER NORM \/ GANTER GRIFF
1483,612,CAREL
1485,7076,Nippon Oil Pump
1487,9866,MEZ Brno
1494,4808,JAQUET
1496,4366,AEG Motor
1498,13,Wenglor
1501,14323,7Ocean Hydraulics \/ SEVEN OCEAN HYDRAULICS
1503,2896,Mikrotik
1505,975,Allied Witan
1507,143,Rotoflux
1509,13183,SEICO Heizungen
1510,1051,RELPOL
1513,2178,MAXIMATOR
1515,15627,E.G.O. \/ EGO
1516,17132,BWF Envirotec
1518,14543,Brad Harrison Molex
1521,16356,ALEBRO
1522,5338,THK
1523,10278,Kries-Energietechnik
1530,17735,NUERT \/ NU.ER.T.
1531,3919,E2S (European Safety Systems)
1532,9041,RPM Motori Elettrici
1534,1728,Kari-finn
1536,16794,SECOMAK
1540,6331,Plast-O-Matic Valves
1541,3921,Eurostamp
1542,733,Dwyer Instruments
1543,2344,Varmec
1545,124,Lenze
1546,2758,REMA TIP TOP
1558,10284,Seitron
1559,6023,SMW-AUTOBLOK
1560,3511,KUNKLE
1566,9078,DIRAK
1572,3762,Elektrogas (Brand of Elettromeccanica DELTA)
1574,18335,Bramidan
1577,16100,Linear-mech \/ Linearmech
1584,12004,Dynameco (Dynamit Nobel Defence)
1587,13751,RT-Filtertechnik
1589,17815,COI TECHNOLOGY S.R.L.
1601,9699,Rosenbauer
1603,12747,EUROTROL
1604,13211,Cla-Val (Automatic Control Valves)
1606,2979,DRIVE SYSTEMS
1607,14896,CATU
1621,2208,Leica (brand of Hexagon Geosystems)
1631,93,Leine & Linde
1632,417,GEWEFA
1633,5978,Veljan
1638,2710,OLDHAM
1642,13902,Hydroven Oleodinamica
1648,882,Rockwell Automation
1649,4946,SPRECHER+SCHUH
1654,9706,EMILE MAURIN
1656,4009,Sanyo Denki
1662,5188,Bucher Hydraulics
1665,1813,GLAMA Maschinenbau GmbH
1666,8617,Lachenmeier
1669,13352,TAIKO KIKAI INDUSTRIES
1671,9260,Fulltech Electric
1673,6755,KNOLL Maschinenbau
1674,4633,Lammers
1681,17388,Elprom Motor Industries
1682,13279,ELSTO
1683,5537,CHIARAVALLI
1684,10998,STÖRK-TRONIC \/ STORK-TRONIC \/ STOERK-TRONIC
1688,5800,Celesco (Brand of TE Connectivity)
1689,8987,BEE
1693,776,HEGWEIN (Brand of DURAG)
1694,2914,AutomationDirect
1696,16947,RAD
1698,10709,Maagtechnic
1700,14472,Boix
1708,1901,ROSTA
1710,15313,"Bourns, Inc."
1711,6219,BLOCK Transformatoren
1713,7814,Vivoil \/ Vivolo Oleodinamica
1716,15885,BiS VALVES
1721,17080,Inovance
